County,Male,Female,Total,No_of_HouseHolds,Area_in_Square_Km,Gender_Index,Household_Density,Population_Density,Location_1,OBJECTID
BARINGO,279081,276480,555561,110649,11015.34,1,50.44,50.44,"(0.66898646421, 35.9461427526)",0
BOMET,359727,364459,724186,142361,2471.3,1,293.04,293.04,"(-0.828313516948, 35.2718580721)",1
BUNGOMA,671548,703515,1375063,270824,3032.15,1,453.49,453.49,"(0.751266866555, 34.6400640229)",2
BUSIA,356122,387824,743946,154225,1695.03,1.1,438.9,438.9,"(0.414922272151, 34.2119561811)",3
ELGEYO MARAKWET,183738,186260,369998,77555,3029.78,1,122.12,122.12,"(-0.599583761487, 37.6238616686)",4
EMBU,254303,261909,516212,131683,2818.04,1,183.18,183.18,"(-0.481349736574, 40.1659770508)",5
GARISSA,334939,288121,623060,98590,44175.02,0.9,14.1,14.1,"(-0.569461605455, 34.4425634908)",6
HOMA BAY,462454,501340,963794,206255,3183.29,1.1,302.77,302.77,"(1.0072914034, 38.5339805227)",7
ISIOLO,73694,69600,143294,31326,25336.07,0.9,5.66,5.66,"(-2.11557571964, 36.9148132847)",8
KAJIADO,345146,342166,687312,173464,21900.97,1,31.38,31.38,"(0.406571323361, 34.7447528077)",9
KAKAMEGA,800989,859662,1660651,355679,3051.23,1.1,544.26,544.26,"(0.801141794285, 35.5371338526)",10
KERICHO,381980,376359,758339,160134,2478.99,1,305.91,305.91,"(-0.366606927838, 35.3205052177)",11
KIAMBU,802609,820673,1623282,469244,2543.42,1,638.23,638.23,"(-1.03764135132, 36.8853971926)",12
KILIFI,535526,574209,1109735,199764,12609.74,1.1,88.01,88.01,"(-3.15289207705, 39.6810389788)",13
KIRINYAGA,260630,267424,528054,154220,1479.09,1,357.01,357.01,"(-0.521121705835, 37.3181036682)",14
KISII,550464,601818,1152282,245029,1317.53,1.1,874.58,874.58,"(-0.77264612958, 34.7745408094)",15
KISUMU,474760,494149,968909,226719,2085.93,1,464.5,464.5,"(-0.155395270269, 34.8848672304)",16
KITUI,481282,531427,1012709,205491,30496.51,1.1,33.21,33.21,"(-1.48049482203, 38.4045048094)",17
KWALE,315997,333934,649931,122047,8270.15,1.1,78.59,78.59,"(-4.11570919811, 39.1575705328)",18
LAIKIPIA,198625,200602,399227,103114,9461.92,1,42.19,42.19,"(0.325205744364, 36.7709678635)",19
LAMU,53045,48494,101539,22184,6273.12,0.9,16.19,16.19,"(-2.02248976334, 40.7518057777)",20
MACHAKOS,543139,555445,1098584,264500,6208.24,1,176.96,176.96,"(-1.2855095965, 37.4062154317)",21
MAKUENI,430710,453817,884527,186478,8008.75,1.1,110.45,110.45,"(-2.15761297656, 37.8014021081)",22
MANDERA,559943,465813,1025756,125497,25991.47,0.8,39.47,39.47,"(3.40858756818, 40.7278251199)",23
MARSABIT,151112,140054,291166,56941,70961.19,0.9,4.1,4.1,"(2.94822553817, 37.6632058956)",24
MERU,670656,685645,1356301,319616,6936.24,1,195.54,195.54,"(0.170820222916, 37.7589002297)",25
MIGORI,444356,472814,917170,180211,2596.44,1.1,353.24,353.24,"(-1.00824313303, 34.4289615036)",26
MOMBASA,486924,452446,939370,268700,218.86,0.9,4292.1,4292.09,"(-3.9901673312, 39.6571798943)",27
MURANG'A,457864,484717,942581,255696,2558.82,1.1,368.37,368.37,"(-0.750718327531, 37.0052434161)",28
NAIROBI,1605230,1533139,3138369,985016,695.1,1,4514.99,4514.96,"(-1.28820488368, 36.8670890754)",29
NAKURU,804582,798743,1603325,409836,7495.07,1,213.92,213.92,"(-0.454733595965, 36.0745095398)",30
NANDI,376488,376477,752965,154073,2884.18,1,261.07,261.07,"(0.183553941863, 35.1159029442)",31
NAROK,429026,421894,850920,169220,17933.05,1,47.45,47.45,"(-1.25266346583, 35.5764440117)",32
NYAMIRA,287048,311204,598252,131039,899.33,1.1,665.22,665.22,"(-0.639979008604, 34.964085961)",33
NYANDARUA,292155,304113,596268,143879,3245.25,1,183.74,183.74,"(-0.319881964862, 36.4825935606)",34
NYERI,339725,353833,693558,201703,3337.09,1,207.83,207.83,"(-0.339493231259, 36.9555240603)",35
SAMBURU,112007,111940,223947,47354,21022.15,1,10.65,10.65,"(1.31725283579, 37.1180835406)",36
SIAYA,398652,443652,842304,199034,2530.38,1.1,332.88,332.88,"(-0.00199456595148, 34.2872687723)",37
TAITA TAVETA,145334,139323,284657,71090,17084.04,1,16.66,16.66,"(-3.41724674681, 38.4224030763)",38
TANA RIVER,119853,120222,240075,47414,38436.91,1,6.25,6.25,"(-1.54982809376, 39.4124450271)",39
THARAKA NITHI,178451,186879,365330,88803,2638.83,1,138.44,138.44,"(-0.200045627725, 37.8701110626)",40
TRANS NZOIA,407172,411585,818757,170117,2495.53,1,328.09,328.09,"(1.05334716398, 34.9569816438)",41
TURKANA,445069,410330,855399,123191,68680.29,0.9,12.45,12.45,"(3.41446819431, 35.4180595715)",42
UASIN GISHU,448994,445185,894179,202291,3345.21,1,267.3,267.3,"(0.528876500302, 35.3187467692)",43
VIHIGA,262716,291906,554622,123347,530.9,1.1,1044.68,1044.68,"(0.0785728482145, 34.7214832513)",44
WAJIR,363766,298175,661941,88574,56685.83,0.8,11.68,11.68,"(1.79745814619, 40.0225056694)",45
WEST POKOT,254827,257863,512690,93777,9169.41,1,55.91,55.91,"(1.71604644911, 35.2469184601)",46
